,account,data.altitude,data.climb,data.eventTimestamp.$date,data.eventtime,data.fuel_status,data.gear,data.gps_speed,data.heading,data.iccid,data.imei,data.intake_air_temp,data.load,data.location.coordinates,data.location.type,data.long_term_fuel_trim_1,data.long_term_fuel_trim_2,data.maf,data.o212,data.rpm,data.short_term_fuel_trim_1,data.short_term_fuel_trim_2,data.speed,data.temp,data.throttle_pos,data.timing_advance,data.username,data.vehicle,delta.acceleration,delta.angular_velocity,delta.distance,delta.incline,delta.interval,driverVehicleId,timestamp,driver_vehicle
336,17350,,,1497327584517,2017-06-13T04:19:44.517100,0202,1,,,98107120720242459516,353147040225957,78,16.07843137254902,"[0.0, 0.0]",Point,-4,-2,0.760587,23499,1252,-5,-4,38.53325046612803,185,18.03921568627451,31.0,arka,toyota-highlander-2005,0.0,,0.0,,3542.0,3.0,2017-06-13T04:19:00.000000,arka_toyota-highlander-2005
46,17350,,,1497327915419,2017-06-13T04:25:15.419147,0202,0,,,98107120720242459516,353147040225957,82,21.96078431372549,"[0.0, 0.0]",Point,-2,0,0.48280740000000005,24299,798,0,3,0.0,188,17.647058823529413,17.0,arka,toyota-highlander-2005,0.0,,0.0,,3506.0,3.0,2017-06-13T04:25:00.000000,arka_toyota-highlander-2005
388,17350,,,1497316225531,2017-06-13T01:10:25.531664,0202,2,,,98107120720242459516,353147040225957,95,23.529411764705884,"[0.0, 0.0]",Point,-6,-3,1.5740844,28099,1016,2,3,2.4860161591050343,185,20.392156862745097,28.0,anupam,toyota-highlander-2005,0.7052528110936267,,0.0,,3525.0,1.0,2017-06-13T01:10:00.000000,anupam_toyota-highlander-2005
882,17350,19.0,0.0,1497373208055,2017-06-13T17:00:08.055317,0202,0,0.005,1.59,98107120720242459516,353147040225957,89,22.745098039215687,"[-121.995976667, 37.358768333]",Point,-1,-1,0.44180184,29699,607,0,0,0.0,186,16.862745098039216,15.5,anupam,toyota-highlander-2005,0.0,0.0,0.0,0.0,3488.0,1.0,2017-06-13T17:00:00.000000,anupam_toyota-highlander-2005
1083,17350,58.6,0.0,1497372647979,2017-06-13T16:50:47.979171,0202,0,0.005,97.18,98107120720242459516,353147040225957,73,25.88235294117647,"[-121.99687, 37.309658333]",Point,-1,-1,0.48677568000000004,29699,589,-4,-3,0.0,172,16.862745098039216,14.5,anupam,toyota-highlander-2005,0.0,,0.0,0.0,3549.0,1.0,2017-06-13T16:50:00.000000,anupam_toyota-highlander-2005
1158,17350,59.2,0.2,1497329053303,2017-06-13T04:44:13.303761,0202,1,13.566,276.91,98107120720242459516,353147040225957,86,17.254901960784313,"[-122.004893333, 37.310508333]",Point,0,2,0.562173,99,925,-11,0,30.45369794903667,185,17.647058823529413,20.0,arka,toyota-highlander-2005,-0.35103306397981276,4.236091499577354e-05,0.042601431527957596,0.00016944365998305602,3541.0,3.0,2017-06-13T04:44:00.000000,arka_toyota-highlander-2005
604,17350,,,1497326897548,2017-06-13T04:08:17.548962,0202,2,,,98107120720242459516,353147040225957,80,34.509803921568626,"[0.0, 0.0]",Point,-4,-2,1.4669408400000001,18699,1524,0,0,31.07520198881293,185,19.607843137254903,36.0,arka,toyota-highlander-2005,-0.17389592607058157,,0.0,,3574.0,3.0,2017-06-13T04:08:00.000000,arka_toyota-highlander-2005
231,17350,,,1497315359552,2017-06-13T00:55:59.552326,0202,1,,,98107120720242459516,353147040225957,71,42.35294117647059,"[0.0, 0.0]",Point,-4,-3,2.7645684000000004,25699,1768,2,0,55.31385954008701,183,22.745098039215687,28.0,anupam,toyota-highlander-2005,0.35083490814352725,,0.0,,3543.0,1.0,2017-06-13T00:55:00.000000,anupam_toyota-highlander-2005
824,17350,9.7,0.2,1497373722873,2017-06-13T17:08:42.873116,0404,1,14.939,121.27,98107120720242459516,353147040225957,91,12.941176470588236,"[-121.97806, 37.384773333]",Point,-1,-1,0.5806916400000001,99,1013,0,0,35.425730267246735,185,17.254901960784313,21.5,anupam,toyota-highlander-2005,-2.677358011672568,-0.0012693854106835157,0.07082421301062031,0.00034462952326249263,3482.0,1.0,2017-06-13T17:08:00.000000,anupam_toyota-highlander-2005
823,17350,,,1497316429934,2017-06-13T01:13:49.934191,0202,1,,,98107120720242459516,353147040225957,96,46.27450980392157,"[0.0, 0.0]",Point,-3,-2,0.71296764,7899,1464,0,1,42.26227470478558,194,17.647058823529413,29.0,anupam,toyota-highlander-2005,0.5284898297417174,,0.0,,3528.0,1.0,2017-06-13T01:13:00.000000,anupam_toyota-highlander-2005
1251,17350,,,1497316426406,2017-06-13T01:13:46.406497,0202,2,,,98107120720242459516,353147040225957,96,49.411764705882355,"[0.0, 0.0]",Point,-2,-2,1.9444572000000002,21099,1679,3,-4,40.3977625854568,194,20.784313725490197,17.5,anupam,toyota-highlander-2005,0.5296909429911284,,0.0,,3520.0,1.0,2017-06-13T01:13:00.000000,anupam_toyota-highlander-2005
953,17350,,,1497327436650,2017-06-13T04:17:16.650530,0202,1,,,98107120720242459516,353147040225957,77,47.450980392156865,"[0.0, 0.0]",Point,0,0,2.3002796400000003,16499,2238,-1,-3,68.9869484151647,185,21.568627450980394,25.5,arka,toyota-highlander-2005,0.3518279308102248,,0.0,,3533.0,3.0,2017-06-13T04:17:00.000000,arka_toyota-highlander-2005
276,17350,68.3,-0.1,1497329221415,2017-06-13T04:47:01.415473,0202,2,3.992,10.46,98107120720242459516,353147040225957,84,20.0,"[-122.013006667, 37.30705]",Point,0,2,0.69180348,25099,966,-1,-1,9.322560596643878,185,17.254901960784313,15.0,arka,toyota-highlander-2005,-1.4057201917472628,-0.09254452926208652,0.013213419969583232,-0.00016963528413910334,3537.0,3.0,2017-06-13T04:47:00.000000,arka_toyota-highlander-2005
626,17350,,,1497316193797,2017-06-13T01:09:53.797822,0404,1,,,98107120720242459516,353147040225957,95,11.764705882352942,"[0.0, 0.0]",Point,-3,-1,0.5595274800000001,99,1173,0,0,39.154754505904286,183,17.254901960784313,24.0,anupam,toyota-highlander-2005,-1.064523048432073,,0.0,,3503.0,1.0,2017-06-13T01:09:00.000000,anupam_toyota-highlander-2005
1240,17350,64.8,0.1,1497372460728,2017-06-13T16:47:40.728684,0202,2,7.567,60.37,98107120720242459516,353147040225957,69,18.823529411764707,"[-122.009028333, 37.308956667]",Point,-2,0,2.64022896,24299,1321,-11,-6,16.159105034182723,136,22.745098039215687,21.0,anupam,toyota-highlander-2005,-2.3248280789635607,-0.07243391521197007,0.03010868780127543,-0.00012468827930174563,4010.0,1.0,2017-06-13T16:47:00.000000,anupam_toyota-highlander-2005
564,17350,,,1497327859071,2017-06-13T04:24:19.071341,0202,2,,,98107120720242459516,353147040225957,82,19.607843137254903,"[0.0, 0.0]",Point,-2,0,0.53836332,26499,736,-1,-4,4.9720323182100685,186,17.254901960784313,20.0,arka,toyota-highlander-2005,-0.8835712820248203,,0.0,,3517.0,3.0,2017-06-13T04:24:00.000000,arka_toyota-highlander-2005
86,17350,,,1497327366201,2017-06-13T04:16:06.201867,0202,2,,,98107120720242459516,353147040225957,82,60.0,"[0.0, 0.0]",Point,0,0,6.6931656,25699,2185,-2,-1,18.645121193287757,185,28.627450980392158,19.5,arka,toyota-highlander-2005,3.229524456112198,,0.0,,3464.0,3.0,2017-06-13T04:16:00.000000,arka_toyota-highlander-2005
1340,17350,,,1497327027790,2017-06-13T04:10:27.790587,0202,2,,,98107120720242459516,353147040225957,80,38.03921568627451,"[0.0, 0.0]",Point,-4,-2,1.3161462000000002,25699,1444,1,-4,20.509633312616533,185,18.823529411764707,36.5,arka,toyota-highlander-2005,0.7133475348938405,,0.0,,3485.0,3.0,2017-06-13T04:10:00.000000,arka_toyota-highlander-2005
660,17350,,,1497327232477,2017-06-13T04:13:52.477696,0202,2,,,98107120720242459516,353147040225957,82,44.31372549019608,"[0.0, 0.0]",Point,-4,-2,2.21033196,25699,1661,1,-2,33.56121814791796,185,21.568627450980394,30.5,arka,toyota-highlander-2005,0.7050527961160051,,0.0,,3526.0,3.0,2017-06-13T04:13:00.000000,arka_toyota-highlander-2005
39,17350,,,1497327108883,2017-06-13T04:11:48.883500,0202,2,,,98107120720242459516,353147040225957,80,40.3921568627451,"[0.0, 0.0]",Point,-3,-3,3.89155992,23499,1612,7,3,10.565568676196396,185,24.705882352941178,21.0,arka,toyota-highlander-2005,-0.5322615242160365,,0.0,,3503.0,3.0,2017-06-13T04:11:00.000000,arka_toyota-highlander-2005
1158,17350,59.2,0.2,1497329053303,2017-06-13T04:44:13.303761,0202,1,13.566,276.91,98107120720242459516,353147040225957,86,17.254901960784313,"[-122.004893333, 37.310508333]",Point,0,2,0.562173,99,925,-11,0,30.45369794903667,185,17.647058823529413,20.0,arka,toyota-highlander-2005,-0.35103306397981276,4.236091499577354e-05,0.042601431527957596,0.00016944365998305602,3541.0,3.0,2017-06-13T04:44:00.000000,arka_toyota-highlander-2005
961,17350,,,1497326830726,2017-06-13T04:07:10.726891,0202,2,,,98107120720242459516,353147040225957,82,25.49019607843137,"[0.0, 0.0]",Point,-2,0,1.11508668,25099,1221,-4,-9,26.72467371037912,185,19.607843137254903,30.5,arka,toyota-highlander-2005,0.1776233323167358,,0.0,,3499.0,3.0,2017-06-13T04:07:00.000000,arka_toyota-highlander-2005
320,17350,,,1497316218483,2017-06-13T01:10:18.483414,0202,0,,,98107120720242459516,353147040225957,95,21.96078431372549,"[0.0, 0.0]",Point,-3,-1,0.42460596,7899,619,3,6,0.0,185,16.862745098039216,15.5,anupam,toyota-highlander-2005,0.0,,0.0,,3471.0,1.0,2017-06-13T01:10:00.000000,anupam_toyota-highlander-2005
1550,17350,,,1497327101852,2017-06-13T04:11:41.852848,0202,2,,,98107120720242459516,353147040225957,80,28.627450980392158,"[0.0, 0.0]",Point,-4,-2,2.5211805600000003,23499,1428,-4,3,16.159105034182723,183,22.352941176470587,22.5,arka,toyota-highlander-2005,-1.2394667459925384,,0.0,,3510.0,3.0,2017-06-13T04:11:00.000000,arka_toyota-highlander-2005
1074,17350,54.3,0.0,1497372757032,2017-06-13T16:52:37.032487,0202,0,0.005,3.05,98107120720242459516,353147040225957,73,25.098039215686274,"[-121.995646667, 37.31466]",Point,-1,-1,0.48280740000000005,29699,603,-1,-2,0.0,185,16.862745098039216,17.5,anupam,toyota-highlander-2005,0.0,,0.0,0.0,3524.0,1.0,2017-06-13T16:52:00.000000,anupam_toyota-highlander-2005
6,17350,5.2,-0.1,1497373885131,2017-06-13T17:11:25.131601,0202,1,16.797,93.56,98107120720242459516,353147040225957,87,18.823529411764707,"[-121.967926667, 37.388913333]",Point,-1,-1,0.6891579600000001,2299,1187,-4,-5,36.047234307023,186,17.647058823529413,2.5,anupam,toyota-highlander-2005,-0.1698562557464485,-2.186389723968251e-05,0.0675776248183981,8.19896146488111e-05,3659.0,1.0,2017-06-13T17:11:00.000000,anupam_toyota-highlander-2005
429,17350,58.6,0.0,1497372662010,2017-06-13T16:51:02.010103,0202,0,0.005,97.18,98107120720242459516,353147040225957,73,25.49019607843137,"[-121.99687, 37.309658333]",Point,-1,-1,0.48148464,29699,595,-3,-3,0.0,174,16.862745098039216,16.0,anupam,toyota-highlander-2005,0.0,,0.0,0.0,3520.0,1.0,2017-06-13T16:51:00.000000,anupam_toyota-highlander-2005
